artist,url,location,date
GUNS N' ROSES,https://www.eventim.com.br/event/guns-n-roses-allianz-parque-20341448/,São Paulo,"sáb. 25/10/2025, 20:00"
GUNS N' ROSES,https://www.eventim.com.br/event/guns-n-roses-arena-brb-mane-garrincha-20345413/,Brasília,"dom. 02/11/2025, 20:00"
I WANNA BE TOUR 2025,https://www.eventim.com.br/event/i-wanna-be-tour-2025-pedreira-paulo-leminski-20352389/,Curitiba,"sáb. 23/08/2025, 10:00"
I WANNA BE TOUR 2025,https://www.eventim.com.br/event/i-wanna-be-tour-2025-allianz-parque-18921379/,São Paulo,"sáb. 30/08/2025, 11:00"
MY CHEMICAL ROMANCE,https://www.eventim.com.br/event/my-chemical-romance-allianz-parque-20384289/,São Paulo,"qui. 05/02/2026, 21:00"
MY CHEMICAL ROMANCE,https://www.eventim.com.br/event/my-chemical-romance-allianz-parque-20396512/,São Paulo,"sex. 06/02/2026, 21:00"
UMMAGUMMA - THE BRAZILIAN PINK FLOYD: 50 ANOS WISH YOU WERE HERE,https://www.eventim.com.br/event/ummagumma-the-brazilian-pink-floyd-50-anos-wish-you-were-here-palacio-das-artes-19717123/,Belo Horizonte,"sex. 25/07/2025, 21:00"
GLENN HUGHES - TURNÊ DE DESPEDIDA NO CIRCO VOADOR,https://www.eventim.com.br/event/glenn-hughes-turne-de-despedida-no-circo-voador-circo-voador-19839931/,Rio de Janeiro,"sex. 14/11/2025, 20:00"
EROS RAMAZZOTTI - UNA STORIA IMPORTANTE,https://www.eventim.com.br/event/eros-ramazzotti-una-storia-importante-vibra-sao-paulo-20150470/,São Paulo,"seg. 30/11/2026, 21:30"
YELLOW DAYS,https://www.eventim.com.br/event/yellow-days-cine-joia-20328521/,São Paulo,"qui. 23/10/2025, 19:00"
"FALL OUT BOY, YELLOWCARD E STORY OF THE YEAR",https://www.eventim.com.br/event/fall-out-boy-yellowcard-e-story-of-the-year-farmasi-arena-20293839/,Rio de Janeiro,"qua. 27/08/2025, 18:00"
I WANNA BE TOUR - OPEN BAR - HOSPITALIDADE 30V,https://www.eventim.com.br/event/i-wanna-be-tour-open-bar-hospitalidade-30v-allianz-parque-19810714/,São Paulo,"sáb. 30/08/2025, 12:00"
CAMAROTE FANZONE - AVENGED SEVENFOLD,https://www.eventim.com.br/event/camarote-fanzone-avenged-sevenfold-allianz-parque-20292376/,São Paulo,"sáb. 04/10/2025, 14:00"
CAMAROTE FANZONE - I WANNA BE TOUR 2025,https://www.eventim.com.br/event/camarote-fanzone-i-wanna-be-tour-2025-allianz-parque-20292536/,São Paulo,"sáb. 30/08/2025, 12:00"
CAMAROTE FANZONE - MY CHEMICAL ROMANCE,https://www.eventim.com.br/event/camarote-fanzone-my-chemical-romance-allianz-parque-20433675/,São Paulo,"qui. 05/02/2026, 21:00"
CAMAROTE FANZONE - MY CHEMICAL ROMANCE,https://www.eventim.com.br/event/camarote-fanzone-my-chemical-romance-allianz-parque-20466513/,São Paulo,"sex. 06/02/2026, 21:00"
HOSPITALIDADE 30V - MY CHEMICAL ROMANCE,https://www.eventim.com.br/event/hospitalidade-30v-my-chemical-romance-allianz-parque-20466425/,São Paulo,"qui. 05/02/2026, 21:00"
HOSPITALIDADE 30V - MY CHEMICAL ROMANCE,https://www.eventim.com.br/event/hospitalidade-30v-my-chemical-romance-allianz-parque-20466433/,São Paulo,"sex. 06/02/2026, 21:00"
ROBERTO CARLOS,https://www.eventim.com.br/event/roberto-carlos-brava-arena-jockey-20430063/,Rio de Janeiro,"sáb. 08/11/2025, 20:00"
ROBERTO CARLOS,https://www.eventim.com.br/event/roberto-carlos-brava-arena-jockey-20462350/,Rio de Janeiro,"dom. 09/11/2025, 20:00"
ROBERTO CARLOS EM APARECIDA/SP,https://www.eventim.com.br/event/roberto-carlos-em-aparecidasp-centro-de-eventos-padre-vitor-coelho-de-almeida-20359989/,Aparecida,"sáb. 04/10/2025, 21:30"
SUPERCOMBO NO CIRCO VOADOR,https://www.eventim.com.br/event/supercombo-no-circo-voador-circo-voador-20302598/,Rio de Janeiro,"sáb. 18/10/2025, 20:00"
GILBERTO GIL | TEMPO REI - ÚLTIMA TURNÊ,https://www.eventim.com.br/event/gilberto-gil-tempo-rei-ultima-turne-estadio-olimpico-do-para-19034743/,Belém,"sáb. 09/08/2025, 21:00"
GILBERTO GIL | TEMPO REI - ÚLTIMA TURNÊ,https://www.eventim.com.br/event/gilberto-gil-tempo-rei-ultima-turne-estadio-olimpico-do-para-19034746/,Belém,"sáb. 09/08/2025, 21:00"
I WANNA BE TOUR 2025,https://www.eventim.com.br/event/i-wanna-be-tour-2025-pedreira-paulo-leminski-20352389/,Curitiba,"sáb. 23/08/2025, 10:00"
I WANNA BE TOUR 2025,https://www.eventim.com.br/event/i-wanna-be-tour-2025-allianz-parque-18921379/,São Paulo,"sáb. 30/08/2025, 11:00"
CAPITAL INICIAL: ACÚSTICO 25 ANOS,https://www.eventim.com.br/event/capital-inicial-acustico-25-anos-area-verde-do-alvares-cabral-19796083/,Vitória,"sáb. 25/10/2025, 18:00"
CAPITAL INICIAL: ACÚSTICO 25 ANOS,https://www.eventim.com.br/event/capital-inicial-acustico-25-anos-espaco-unimed-19422651/,São Paulo,"sáb. 15/11/2025, 22:00"
ROLLING STONE SESSIONS APRESENTA: HURRICANES,https://www.eventim.com.br/event/rolling-stone-sessions-apresenta-hurricanes-blue-note-sao-paulo-20475117/,São Paulo,"qua. 22/10/2025, 22:30"
DEMÔNIOS DA GAROA - CLÁSSICOS & BOSSAS,https://www.eventim.com.br/event/demonios-da-garoa-classicos-bossas-blue-note-sao-paulo-20391129/,São Paulo,"sáb. 27/09/2025, 20:00"
DEMÔNIOS DA GAROA - CLÁSSICOS & BOSSAS,https://www.eventim.com.br/event/demonios-da-garoa-classicos-bossas-blue-note-sao-paulo-20391195/,São Paulo,"sáb. 27/09/2025, 22:30"
VERÔNICA FERRIANI CANTA NARA LEÃO,https://www.eventim.com.br/event/veronica-ferriani-canta-nara-leao-blue-note-sao-paulo-20269591/,São Paulo,"qui. 04/09/2025, 20:00"
ERIKKA RODRIGUES - BLUE NIGHT CLUB,https://www.eventim.com.br/event/erikka-rodrigues-blue-night-club-blue-note-sao-paulo-20260036/,São Paulo,"qui. 21/08/2025, 22:30"
MARLEY NIGHT - TRIBUTO A BOB MARLEY,https://www.eventim.com.br/event/marley-night-tributo-a-bob-marley-blue-note-sao-paulo-20407401/,São Paulo,"sex. 08/08/2025, 20:00"
MARLEY NIGHT - TRIBUTO A BOB MARLEY,https://www.eventim.com.br/event/marley-night-tributo-a-bob-marley-blue-note-sao-paulo-20330455/,São Paulo,"sex. 08/08/2025, 22:30"
TRIBUTO AMY WINEHOUSE POR LUD MAZZUCATTI,https://www.eventim.com.br/event/tributo-amy-winehouse-por-lud-mazzucatti-blue-note-sao-paulo-20467586/,São Paulo,"sex. 19/09/2025, 22:30"
ELTON JOHN DIAMONDS - POR MIZINHO CARVALHO,https://www.eventim.com.br/event/elton-john-diamonds-por-mizinho-carvalho-blue-note-sao-paulo-20391415/,São Paulo,"sáb. 06/09/2025, 22:30"
IVAN MAZUZE E NEY CONCEIÇÃO QUINTETO,https://www.eventim.com.br/event/ivan-mazuze-e-ney-conceicao-quinteto-blue-note-sao-paulo-20269590/,São Paulo,"ter. 29/07/2025, 22:30"
OSWALDO MONTENEGRO – O MELHOR DA VIDA AINDA VAI ACONTECER,https://www.eventim.com.br/event/oswaldo-montenegro-o-melhor-da-vida-ainda-vai-acontecer-palacio-das-artes-19830539/,Belo Horizonte,"qui. 14/08/2025, 21:00"
OSWALDO MONTENEGRO – O MELHOR DA VIDA AINDA VAI ACONTECER,https://www.eventim.com.br/event/oswaldo-montenegro-o-melhor-da-vida-ainda-vai-acontecer-palacio-das-artes-19830541/,Belo Horizonte,"sex. 15/08/2025, 21:00"
BENDITA RITA - POR BIA MENDES,https://www.eventim.com.br/event/bendita-rita-por-bia-mendes-blue-note-sao-paulo-20352597/,São Paulo,"dom. 03/08/2025, 19:00"
RODRIGO OGI E BANDA COMEMORANDO 10 ANOS DO DISCO RÁ,https://www.eventim.com.br/event/rodrigo-ogi-e-banda-comemorando-10-anos-do-disco-ra-blue-note-sao-paulo-20260038/,São Paulo,"dom. 24/08/2025, 19:00"
TRIBUTO - NOSSO CASSIANO,https://www.eventim.com.br/event/tributo-nosso-cassiano-blue-note-sao-paulo-20281975/,São Paulo,"qua. 06/08/2025, 22:30"
TRIBUTO A ADONIRAN BARBOSA E CARTOLA POR MATHEUS MARÊ,https://www.eventim.com.br/event/tributo-a-adoniran-barbosa-e-cartola-por-matheus-mare-blue-note-sao-paulo-20281974/,São Paulo,"ter. 05/08/2025, 22:30"
BETA RIVELLINO - SOLTEI MINHA VOZ,https://www.eventim.com.br/event/beta-rivellino-soltei-minha-voz-blue-note-sao-paulo-20459486/,São Paulo,"qua. 03/12/2025, 20:00"
MARIAS,https://www.eventim.com.br/event/marias-palacio-das-artes-20105430/,Belo Horizonte,"sáb. 16/08/2025, 20:00"
"IAGO, O ELOGIO DA VINGANÇA",https://www.eventim.com.br/event/iago-o-elogio-da-vinganca-palacio-das-artes-20466515/,Belo Horizonte,"sex. 08/08/2025, 19:30"
"IAGO, O ELOGIO DA VINGANÇA",https://www.eventim.com.br/event/iago-o-elogio-da-vinganca-palacio-das-artes-20466516/,Belo Horizonte,"sáb. 09/08/2025, 20:00"
RAFA E LUIZ,https://www.eventim.com.br/event/rafa-e-luiz-palacio-das-artes-19974470/,Belo Horizonte,"dom. 21/09/2025, 15:00"
UM SIMPLES JUDEU,https://www.eventim.com.br/event/um-simples-judeu-teatro-j-safra-20347585/,São Paulo,"dom. 17/08/2025, 16:30"
O HOMEM MAIS INTELIGENTE DA HISTÓRIA,https://www.eventim.com.br/event/o-homem-mais-inteligente-da-historia-teatro-j-safra-20381459/,São Paulo,"sex. 01/08/2025, 20:30"
O HOMEM MAIS INTELIGENTE DA HISTÓRIA,https://www.eventim.com.br/event/o-homem-mais-inteligente-da-historia-teatro-j-safra-20381587/,São Paulo,"sex. 08/08/2025, 20:30"
DVAR - DO VENTRE A RAIZ,https://www.eventim.com.br/event/dvar-do-ventre-a-raiz-palacio-das-artes-20381399/,Belo Horizonte,"sáb. 26/07/2025, 20:00"
DVAR - DO VENTRE A RAIZ,https://www.eventim.com.br/event/dvar-do-ventre-a-raiz-palacio-das-artes-20381400/,Belo Horizonte,"dom. 27/07/2025, 19:00"
MARIO SERGIO CORTELLA & TEREZINHA RIOS,https://www.eventim.com.br/event/mario-sergio-cortella-terezinha-rios-teatro-casa-grande-20410732/,Rio de Janeiro,"ter. 30/09/2025, 20:00"
"BOB ZOOM EM “A MAGIA DO NATAL""",https://www.eventim.com.br/event/bob-zoom-em-a-magia-do-natal-teatro-j-safra-20330771/,São Paulo,"qui. 20/11/2025, 11:00"
PROJETO DOMINGO NO TEATRO SOPRO CIA. DE DANÇA APRESENTA “FILHAS”,https://www.eventim.com.br/event/projeto-domingo-no-teatro-sopro-cia-de-danca-apresenta-filhas-teatro-j-safra-20301946/,São Paulo,"dom. 27/07/2025, 11:00"
"CIA PAULISTA DE DANÇA APRESENTA “IDIOSSINCRASIA""",https://www.eventim.com.br/event/cia-paulista-de-danca-apresenta-idiossincrasia-teatro-j-safra-20231363/,São Paulo,"sex. 12/09/2025, 20:30"
"CIA PAULISTA DE DANÇA APRESENTA “IDIOSSINCRASIA""",https://www.eventim.com.br/event/cia-paulista-de-danca-apresenta-idiossincrasia-teatro-j-safra-20231365/,São Paulo,"sáb. 13/09/2025, 16:00"
SÃO PAULO CIA. DE DANÇA EM - O LAGO DOS CISNES,https://www.eventim.com.br/event/sao-paulo-cia-de-danca-em-o-lago-dos-cisnes-palacio-das-artes-20302042/,Belo Horizonte,"sáb. 27/09/2025, 15:30"
SÃO PAULO CIA. DE DANÇA EM - O LAGO DOS CISNES,https://www.eventim.com.br/event/sao-paulo-cia-de-danca-em-o-lago-dos-cisnes-palacio-das-artes-20302386/,Belo Horizonte,"sáb. 27/09/2025, 20:30"
MARCO LUQUE: É DISSO QUE EU TÔ FALANDO!,https://www.eventim.com.br/event/marco-luque-e-disso-que-eu-to-falando-teatro-das-artes-20410731/,São Paulo,"qui. 07/08/2025, 20:00"
MARCO LUQUE: É DISSO QUE EU TÔ FALANDO!,https://www.eventim.com.br/event/marco-luque-e-disso-que-eu-to-falando-teatro-das-artes-20483837/,São Paulo,"qui. 11/09/2025, 20:00"
AULA SHOW COM VIVIANE MOSÉ: UM SIM À VIDA,https://www.eventim.com.br/event/aula-show-com-viviane-mose-um-sim-a-vida-bona-casa-de-musica-20474957/,São Paulo,"qui. 21/08/2025, 21:00"
BRUXAS DE SALEM,https://www.eventim.com.br/event/bruxas-de-salem-teatro-casa-grande-20443958/,Rio de Janeiro,"qui. 04/09/2025, 20:00"
BRUXAS DE SALEM,https://www.eventim.com.br/event/bruxas-de-salem-teatro-casa-grande-20444137/,Rio de Janeiro,"sex. 05/09/2025, 20:00"
"TIPATIA, SÔ! – ANDERSON PROFETA",https://www.eventim.com.br/event/tipatia-so-anderson-profeta-cine-theatro-brasil-20403644/,Belo Horizonte,"qui. 16/10/2025, 21:00"
JÚRI POPULAR,https://www.eventim.com.br/event/juri-popular-cine-theatro-brasil-20448646/,Belo Horizonte,"sáb. 06/09/2025, 20:00"
JÚRI POPULAR,https://www.eventim.com.br/event/juri-popular-cine-theatro-brasil-20448647/,Belo Horizonte,"dom. 07/09/2025, 19:00"
LUIS BRAVO'S FOREVER TANGO,https://www.eventim.com.br/event/luis-bravos-forever-tango-cine-theatro-brasil-20324849/,Belo Horizonte,"qua. 30/07/2025, 21:00"
NANY PEOPLE EM SER MULHER NÃO É PARA QUALQUER UM,https://www.eventim.com.br/event/nany-people-em-ser-mulher-nao-e-para-qualquer-um-cine-theatro-brasil-20275740/,Belo Horizonte,"sex. 15/08/2025, 21:00"
ABRIL POÉTICO,https://www.eventim.com.br/event/abril-poetico-palacio-das-artes-20407031/,Belo Horizonte,"sáb. 09/08/2025, 18:00"
PEQUEÑAS INFIDELIDADES,https://www.eventim.com.br/event/pequenas-infidelidades-palacio-das-artes-20478331/,Belo Horizonte,"qui. 28/08/2025, 20:00"
PEQUEÑAS INFIDELIDADES,https://www.eventim.com.br/event/pequenas-infidelidades-palacio-das-artes-20478334/,Belo Horizonte,"sex. 29/08/2025, 20:00"
DIVERSÃO EM CENA: TIQUEQUÊ - BAILAMOS,https://www.eventim.com.br/event/diversao-em-cena-tiqueque-bailamos-palacio-das-artes-20466518/,Belo Horizonte,"dom. 07/09/2025, 17:00"
OS 3 PORQUINHOS – O CLÁSSICO,https://www.eventim.com.br/event/os-3-porquinhos-o-classico-cine-theatro-brasil-20246128/,Belo Horizonte,"sáb. 26/07/2025, 16:00"
OS 3 PORQUINHOS – O CLÁSSICO,https://www.eventim.com.br/event/os-3-porquinhos-o-classico-cine-theatro-brasil-20246126/,Belo Horizonte,"dom. 27/07/2025, 16:00"
BLOW UP - RECIFE,https://www.eventim.com.br/event/blow-up-recife-shopping-recife-20365765/,Recife,qua. 23/07/2025 ─ qua. 23/07/2025
BLOW UP - RECIFE,https://www.eventim.com.br/event/blow-up-recife-shopping-recife-20365771/,Recife,qui. 24/07/2025 ─ qui. 24/07/2025
ALADIM E A LÂMPADA MÁGICA - O MUSICAL,https://www.eventim.com.br/event/aladim-e-a-lampada-magica-o-musical-teatro-das-artes-20366166/,São Paulo,"sáb. 26/07/2025, 15:00"
ALADIM E A LÂMPADA MÁGICA - O MUSICAL,https://www.eventim.com.br/event/aladim-e-a-lampada-magica-o-musical-teatro-das-artes-20366177/,São Paulo,"dom. 27/07/2025, 15:00"
MARIA CLARA & JP – BRINCAR E IMAGINAR,https://www.eventim.com.br/event/maria-clara-jp-brincar-e-imaginar-cine-theatro-brasil-20485253/,Belo Horizonte,"dom. 07/09/2025, 15:00"
MARIA CLARA & JP – BRINCAR E IMAGINAR,https://www.eventim.com.br/event/maria-clara-jp-brincar-e-imaginar-cine-theatro-brasil-20485273/,Belo Horizonte,"dom. 07/09/2025, 18:00"
MOSTRA CINE DE BRASIL DE TEATRO APRESENTA DOIS PAPAS,https://www.eventim.com.br/event/mostra-cine-de-brasil-de-teatro-apresenta-dois-papas-cine-theatro-brasil-20465637/,Belo Horizonte,"sáb. 08/11/2025, 21:00"
MOSTRA CINE DE BRASIL DE TEATRO APRESENTA DOIS PAPAS,https://www.eventim.com.br/event/mostra-cine-de-brasil-de-teatro-apresenta-dois-papas-cine-theatro-brasil-20465672/,Belo Horizonte,"dom. 09/11/2025, 19:00"
"SEGUNDA NO CINE: ATAQUE AO PRÉDIO (ATTACK THE BLOCK, JOE CORNISH, REINO UNIDO, 2011)",https://www.eventim.com.br/event/segunda-no-cine-ataque-ao-predio-attack-the-block-joe-cornish-reino-unido-2011-cine-theatro-brasil-20415772/,Belo Horizonte,"seg. 28/07/2025, 19:30"
THE MESSI EXPERIENCE - INGRESSOS FLEX E VIP,https://www.eventim.com.br/event/the-messi-experience-ingressos-flex-e-vip-shopping-eldorado-19477012/,São Paulo,sáb. 26/04/2025 ─ sáb. 16/08/2025
THE MESSI EXPERIENCE - INGRESSOS FLEX E VIP,https://www.eventim.com.br/event/the-messi-experience-ingressos-flex-e-vip-shopping-eldorado-19477123/,São Paulo,sáb. 26/04/2025 ─ sáb. 16/08/2025
LTA SUL - 3º SPLIT 2025,https://www.eventim.com.br/event/lta-sul-3-split-2025-riot-games-arena-sao-paulo-20470433/,São Paulo,"sáb. 02/08/2025, 12:00"
LTA SUL - 3º SPLIT 2025,https://www.eventim.com.br/event/lta-sul-3-split-2025-riot-games-arena-sao-paulo-20470432/,São Paulo,"dom. 03/08/2025, 12:00"
THE MESSI EXPERIENCE - INGRESSOS GERAL,https://www.eventim.com.br/event/the-messi-experience-ingressos-geral-shopping-eldorado-20470417/,São Paulo,ter. 22/07/2025
THE MESSI EXPERIENCE - INGRESSOS GERAL,https://www.eventim.com.br/event/the-messi-experience-ingressos-geral-shopping-eldorado-20417004/,São Paulo,qua. 23/07/2025
NOS RASTROS DA IMAGEM: FILMES DE DETETIVE,https://www.eventim.com.br/event/nos-rastros-da-imagem-filmes-de-detetive-cine-humberto-mauro-20424159/,Belo Horizonte,"ter. 22/07/2025, 16:00"
NOS RASTROS DA IMAGEM: FILMES DE DETETIVE,https://www.eventim.com.br/event/nos-rastros-da-imagem-filmes-de-detetive-cine-humberto-mauro-20424158/,Belo Horizonte,"ter. 22/07/2025, 18:30"
"SEGUNDA NO CINE: O ANO EM QUE MEUS PAIS SAÍRAM DE FÉRIAS (CAO HAMBURGER, BRASIL, 2006)",https://www.eventim.com.br/event/segunda-no-cine-o-ano-em-que-meus-pais-sairam-de-ferias-cao-hamburger-brasil-2006-cine-theatro-brasil-20416130/,Belo Horizonte,"seg. 28/07/2025, 16:30"
COTIA RODEIO FEST 2025,https://www.eventim.com.br/event/cotia-rodeio-fest-2025-aerodromo-nascimento-cotia-rodeio-fest-20385210/,Cotia - Sp,"sex. 22/08/2025, 20:00"
COTIA RODEIO FEST 2025,https://www.eventim.com.br/event/cotia-rodeio-fest-2025-aerodromo-nascimento-cotia-rodeio-fest-20385981/,Cotia - Sp,"sáb. 23/08/2025, 20:00"
COTIA RODEIO FEST 2025,https://www.eventim.com.br/event/cotia-rodeio-fest-2025-aerodromo-nascimento-cotia-rodeio-fest-20385979/,Cotia - Sp,"sex. 29/08/2025, 20:00"
SÃO CARLOS RODEIO FEST 2025,https://www.eventim.com.br/event/sao-carlos-rodeio-fest-2025-avenida-getulio-vargas-na-rotatoria-20385991/,São Carlos - Sp,"sex. 08/08/2025, 18:59"
SÃO CARLOS RODEIO FEST 2025,https://www.eventim.com.br/event/sao-carlos-rodeio-fest-2025-avenida-getulio-vargas-na-rotatoria-20385416/,São Carlos - Sp,"sex. 08/08/2025, 19:00"
SÃO CARLOS RODEIO FEST 2025,https://www.eventim.com.br/event/sao-carlos-rodeio-fest-2025-avenida-getulio-vargas-na-rotatoria-20385982/,São Carlos - Sp,"sáb. 09/08/2025, 19:00"
VALE RODEIO SHOW,https://www.eventim.com.br/event/vale-rodeio-show-vale-rodeio-show-20385995/,São José dos Campos - Sp,"sex. 19/09/2025, 17:59"
VALE RODEIO SHOW,https://www.eventim.com.br/event/vale-rodeio-show-vale-rodeio-show-20385491/,São José dos Campos - Sp,"sex. 19/09/2025, 18:00"
VALE RODEIO SHOW,https://www.eventim.com.br/event/vale-rodeio-show-vale-rodeio-show-20385986/,São José dos Campos - Sp,"sáb. 20/09/2025, 20:00"
ITAQUÁ RODEIO FEST 2025,https://www.eventim.com.br/event/itaqua-rodeio-fest-2025-itaqua-rodeio-fest-20385994/,Itaquaquecetuba - Sp,"sex. 05/09/2025, 19:59"
ITAQUÁ RODEIO FEST 2025,https://www.eventim.com.br/event/itaqua-rodeio-fest-2025-itaqua-rodeio-fest-20385382/,Itaquaquecetuba - Sp,"sex. 05/09/2025, 20:00"
ITAQUÁ RODEIO FEST 2025,https://www.eventim.com.br/event/itaqua-rodeio-fest-2025-itaqua-rodeio-fest-20385975/,Itaquaquecetuba - Sp,"sáb. 06/09/2025, 12:00"
